"Dependiente","ANAL","SPRI","OVSDS","OVSEE","OVSAE","VHAC","OVPT","PL.5000","PO2SM","IM","area_mun..ha.","Sum_POBTOT","R_Inun","R_Hur","R_Des","R_Seq","R_IF","R_Den"
1,27.45,56.65,28.13,19.28,35.52,57.43,42.35,71.86,83.54,0.67,61621.97,55871,5,5,4,4,1,0
0,6.73,21.17,1.45,1.06,6.56,36.28,4.1,7.06,31.65,-1.5,121043.12,1434751,4,1,1,5,2,5
1,16.15,46.73,9.15,3.14,11.05,68.09,33.1,100,78.57,0.47,10801.56,5940,0,3,3,1,3,0
1,23.58,54.8,21.54,11.87,21.32,57.44,20.93,48.89,77.74,0.11,99853.15,13503,5,1,0,2,2,0
1,19.24,45.43,42.51,3.06,0,64.55,6.98,100,82.45,0.47,50987.7,3825,3,2,0,2,4,0
1,14.23,53.91,17.91,3.11,4.02,41.16,15.57,100,78.67,-0.26,36852.32,17086,1,3,0,5,2,5
1,9.07,36.67,9.97,1.3,3.84,40.47,3.89,100,68.03,-0.15,43737.13,22218,3,2,0,5,3,0
0,17.87,36.56,7.98,6.44,31.4,64.49,13.48,100,79.66,0.84,1394606.57,26543,2,3,0,2,1,0
0,10.21,37.95,2.91,7.42,11.88,44.59,7.83,53.46,57.72,-0.55,377822.69,27926,3,2,0,3,3,5
1,6.42,26.83,1.08,2.45,7.2,27.73,2.34,26.95,47.36,-1.3,42866.22,15461,4,2,0,5,1,0
1,14.63,39.34,1.47,13.38,16.63,51.98,46.66,58.52,78.36,0.25,51357.83,14521,5,5,0,4,2,0
0,8.37,25.2,2.49,2.44,43.96,41.63,6.02,14.29,49.13,-0.9,37154.69,45835,5,2,0,2,2,0
1,2.33,12.8,0.34,0.45,0.81,43.56,2.01,4.63,25.77,-1.97,23634.19,523149,4,1,0,5,3,5
1,9.38,25.74,6.15,1.71,4.56,47.68,6.94,18.17,59.8,-1.2,21581.15,151522,4,3,2,4,2,0
0,5.48,18.36,1.67,1.54,18.55,43.51,4.62,17.25,24.81,-1.19,858833.96,217712,3,1,0,1,1,0
1,13.02,34.58,13.57,8.51,8.44,49.16,15.96,39.8,66.38,-0.33,51531.68,23202,5,5,3,3,3,0
1,18.81,46.21,5.34,7.73,24.02,62.78,37.13,100,86.05,0.67,31682.15,26448,2,5,3,4,2,5
0,3.93,14.99,0.55,0.41,7.1,33.24,5.04,7.2,37.7,-1.61,24574.52,551926,4,3,0,4,1,0
1,10.53,38.28,4.37,9,7.36,47.46,20.36,100,64.25,-0.17,29982.83,3216,3,1,0,1,5,0
0,15.88,40.94,23.63,1.84,21.19,55.11,25.72,54.56,77.83,-0.21,36734.75,25231,1,2,0,5,1,5
0,3.76,15.6,1.68,0.57,2.02,35.15,4.28,14.73,19.61,-1.57,623897.21,855444,3,3,1,3,5,0
